hour,bugs,diff
500,69,500
909,120,409
1101,136,192
1272,343,171
1416,75,144
1576,51,160
2225,210,649
2407,137,182
2758,163,351
2914,68,156
3097,73,183
3428,87,331
3578,98,150
3978,82,400
4385,33,407
4769,147,384
5098,68,329
5240,50,142
5345,137,105
5767,114,422
5959,193,192
6177,120,218
6321,74,144
6494,94,173
6712,22,218
6800,3,88
6851,26,51
6992,112,141
7069,52,77
7082,3,13
7312,70,230
7423,36,111
7498,39,75
7570,38,72
7689,32,119
7833,24,144
7975,14,142
8035,29,60
8153,17,118
8675,62,522
8744,59,69
8819,104,75
8893,28,74
9010,49,117
9152,43,142
9296,24,144
9369,21,73
9488,30,119
9624,21,136
9712,20,88
9833,16,121
9899,26,66
10230,93,331
10298,37,68
10380,36,82
10476,29,96
10571,31,95
10664,76,93
10689,15,25
10880,27,191
10979,33,99
11118,19,139
11192,46,74
11336,28,144
11404,18,68
11477,44,73
11598,22,121
11748,59,150
11893,56,145
12013,102,120
12323,52,310
12492,90,169
12557,47,65
12774,33,217
12851,27,77
12997,100,146
13234,57,237
13374,58,140
13535,84,161
13779,91,244
13889,59,110
13923,16,34
14013,24,90
14209,21,196
14337,54,128
14406,16,69
14527,17,121
14686,33,159
15009,66,323
15200,43,191
15273,50,73
15370,48,97
15512,29,142
15592,47,80
15729,34,137
15873,21,144
16018,40,145
16193,53,175
16259,29,66
16329,61,70
16400,20,71
16403,2,3
16545,98,142
16667,28,122
16770,48,103
16930,106,160
17026,115,96
17150,79,124
17348,65,198
17415,42,67
17529,23,114
17697,94,168
17851,55,154
18036,76,185
18113,68,77
18428,109,315
18567,34,139
18635,193,68
18706,22,71
18778,35,72
18976,37,198
19139,64,163
19233,131,94
19282,98,49
19385,44,103
19457,21,72
19642,73,185
19770,192,128
20024,98,254
20142,51,118
20223,44,81
20553,57,330
20791,92,238
20886,267,95
20901,2,15
21063,36,162
21231,25,168
21296,25,65
21706,106,410
21903,48,197
22042,44,139
22094,4,52
22165,32,71
22233,108,68
22302,24,69
22527,123,225
22595,13,68
22744,46,149
22795,14,51
22809,2,14
22902,23,93
22956,79,54
23046,6,90
23240,81,194
23347,48,107
23480,61,133
23589,57,109
23743,69,154
23819,29,76
24079,114,260
24152,27,73
24320,48,168
24832,116,512
25089,161,257
25240,71,151
25329,85,89
25617,91,288
25725,89,108
25814,41,89
26362,86,548
26446,52,84
26673,105,227
26947,55,274
26987,35,40
27274,144,287
27345,21,71
28016,231,671
28277,132,261
28856,170,579
29322,267,466
29939,244,617
30090,5,151
30199,85,109
30313,2,114
30632,74,319
30896,41,264
31232,157,336
31289,23,57
31403,22,114
31737,79,334
32025,77,288
32122,24,97
32263,10,141
32382,58,119
32723,100,341
32779,36,56
33021,80,242
33297,40,276
33492,48,195
33587,76,95
33643,59,56
33730,21,87
33951,157,221
34026,133,75
34041,2,15
34191,93,150
34570,163,379
34909,137,339
35099,60,190
35156,30,57
35360,77,204
35506,184,146
35678,54,172
35902,90,224
36231,114,329
36511,73,280
