tag,timestamp
v4.4,1452466892.0
v4.4-rc1,1447635627.0
v4.4-rc2,1448239559.0
v4.4-rc3,1448852306.0
v4.4-rc4,1449445392.0
v4.4-rc5,1450057378.0
v4.4-rc6,1450656369.0
v4.4-rc7,1451269057.0
v4.4-rc8,1451862937.0
v4.4.1,1454268577.0
v4.4.2,1455741085.0
v4.4.3,1456430496.0
v4.4.4,1457046604.0
v4.4.5,1457566558.0
v4.4.6,1458142997.0
v4.4.7,1460477366.0
v4.4.8,1461134642.0
v4.4.9,1462398615.0
v4.4.10,1462958606.0
v4.4.11,1463616516.0
v4.4.12,1464808566.0
v4.4.13,1465348491.0
v4.4.14,1466788718.0
v4.4.15,1468254684.0
v4.4.16,1469638110.0
v4.4.17,1470822583.0
v4.4.18,1471332714.0
v4.4.19,1471709378.0
v4.4.20,1473229979.0
v4.4.21,1473920969.0
v4.4.22,1474704494.0
v4.4.23,1475223643.0
v4.4.24,1475846639.0
v4.4.25,1476632883.0
v4.4.26,1476950463.0
v4.4.27,1477132033.0
v4.4.28,1477641205.0
v4.4.29,1477916126.0
v4.4.30,1477965418.0
v4.4.31,1478792220.0
v4.4.32,1479192455.0
v4.4.33,1479462543.0
v4.4.34,1479719213.0
v4.4.35,1480150504.0
v4.4.36,1480666158.0
v4.4.37,1481177746.0
v4.4.38,1481393285.0
v4.4.39,1481820574.0
v4.4.40,1483697791.0
v4.4.41,1483945690.0
v4.4.42,1484216582.0
v4.4.43,1484484109.0
v4.4.44,1484906210.0
v4.4.45,1485415443.0
v4.4.46,1485934271.0
v4.4.47,1486197926.0
v4.4.48,1486623779.0
v4.4.49,1487114589.0
v4.4.50,1487432377.0
v4.4.51,1487868200.0
v4.4.52,1488103709.0
v4.4.53,1489297069.0
v4.4.54,1489543076.0
v4.4.55,1489835423.0
v4.4.56,1490181471.0
v4.4.57,1490523235.0
v4.4.58,1490859393.0
v4.4.59,1490948229.0
v4.4.60,1491638033.0
v4.4.61,1491993530.0
v4.4.62,1492492537.0
v4.4.63,1492759824.0
v4.4.64,1493276993.0
v4.4.65,1493524211.0
v4.4.66,1493785209.0
v4.4.67,1494222377.0
v4.4.68,1494761595.0
v4.4.69,1495283242.0
v4.4.70,1495716650.0
v4.4.71,1496829974.0
v4.4.72,1497440618.0
v4.4.73,1497674454.0
v4.4.74,1498454004.0
v4.4.75,1498733348.0
v4.4.76,1499258361.0
v4.4.77,1500112683.0
v4.4.78,1500615910.0
v4.4.79,1501193186.0
v4.4.80,1502072447.0
v4.4.81,1502468571.0
v4.4.82,1502591374.0
v4.4.83,1502916042.0
v4.4.84,1503619378.0
v4.4.85,1504081182.0
v4.4.86,1504328825.0
v4.4.87,1504766065.0
v4.4.88,1505337005.0
v4.4.89,1506502837.0
v4.4.90,1507189319.0
v4.4.91,1507451064.0
v4.4.92,1507800460.0
v4.4.93,1508311243.0
v4.4.94,1508598547.0
v4.4.95,1509092598.0
v4.4.96,1509612050.0
v4.4.97,1510131991.0
v4.4.98,1510762394.0
v4.4.99,1510999867.0
v4.4.100,1511252483.0
v4.4.101,1511508745.0
v4.4.102,1511519189.0
v4.4.103,1512031048.0
v4.4.104,1512469372.0
v4.4.105,1512841364.0
v4.4.106,1513416837.0
v4.4.107,1513760701.0
v4.4.108,1514208136.0
v4.4.109,1514921608.0
v4.4.110,1515163467.0
v4.4.111,1515572835.0
v4.4.112,1516178133.0
v4.4.113,1516733418.0
v4.4.114,1517396774.0
v4.4.115,1517673871.0
v4.4.116,1518808188.0
v4.4.117,1519310702.0
v4.4.118,1519553035.0
v4.4.119,1519809444.0
v4.4.120,1520068786.0
v4.4.121,1520781587.0
v4.4.122,1521368274.0
v4.4.123,1521707012.0
v4.4.124,1521885529.0
v4.4.125,1522255217.0
v4.4.126,1522512755.0
v4.4.127,1523181122.0
v4.4.128,1523641828.0
v4.4.129,1524555132.0
v4.4.130,1524981007.0
v4.4.131,1525272823.0
v4.4.132,1526458013.0
v4.4.133,1527317341.0
v4.4.134,1527659358.0
v4.4.135,1527711095.0
v4.4.136,1528296384.0
v4.4.137,1528899329.0
v4.4.138,1529135667.0
v4.4.139,1530609695.0
v4.4.140,1531317832.0
v4.4.141,1531819906.0
v4.4.142,1532007358.0
v4.4.143,1532262354.0
v4.4.144,1532506713.0
v4.4.145,1532756705.0
v4.4.146,1533565482.0
v4.4.147,1533809968.0
v4.4.148,1534347731.0
v4.4.149,1534532205.0
v4.4.150,1534581938.0
v4.4.151,1534916918.0
v4.4.152,1535110022.0
v4.4.153,1535433824.0
v4.4.154,1536131921.0
v4.4.155,1536516277.0
v4.4.156,1536997242.0
v4.4.157,1537390140.0
v4.4.158,1537943710.0
v4.4.159,1538215735.0
v4.4.160,1539154333.0
v4.4.161,1539414696.0
v4.4.162,1540021958.0
v4.4.163,1541864504.0
v4.4.164,1542788865.0
v4.4.165,1543331283.0
v4.4.166,1543654001.0
v4.4.167,1544689297.0
v4.4.168,1545080118.0
v4.4.169,1545397794.0
v4.4.170,1547370334.0
v4.4.171,1547673372.0
v4.4.172,1548492175.0
v4.4.173,1549478588.0
v4.4.174,1549621533.0
v4.4.175,1550654004.0
v4.4.176,1550909114.0
v4.4.177,1553327080.0
v4.4.178,1554265409.0
v4.4.179,1556350443.0
v4.4.180,1558028718.0
v4.4.181,1560248653.0
v4.4.182,1560794063.0
v4.4.183,1561184307.0
v4.4.184,1561594413.0
v4.4.185,1562745405.0
v4.4.186,1563692836.0
v4.4.187,1564904102.0
v4.4.188,1565108909.0
v4.4.189,1565518849.0
v4.4.190,1566723186.0
v4.4.191,1567757897.0
v4.4.192,1568107790.0
v4.4.193,1568614417.0
v4.4.194,1569042774.0
v4.4.195,1570271276.0
v4.4.196,1570474867.0
v4.4.197,1571344866.0
v4.4.198,1572336813.0
v4.4.199,1573038567.0
v4.4.200,1573381299.0
v4.4.201,1573582417.0
v4.4.202,1573896472.0
v4.4.203,1574693692.0
v4.4.204,1574961990.0
v4.4.205,1575016225.0
v4.4.206,1575556038.0
v4.4.207,1576920948.0
v4.4.208,1578141278.0
v4.4.209,1578824573.0
v4.4.210,1579028588.0
v4.4.211,1579763921.0
v4.4.212,1580289713.0
v4.4.213,1580907827.0
v4.4.214,1581715802.0
v4.4.215,1582900759.0
v4.4.216,1583909479.0
v4.4.217,1584691595.0
v4.4.218,1585846960.0
v4.4.219,1586766695.0
v4.4.220,1587707847.0
v4.4.221,1588432855.0
v4.4.222,1588698805.0
v4.4.223,1589099197.0
v4.4.224,1589955117.0
v4.4.225,1590590434.0
v4.4.226,1591164736.0
v4.4.227,1591860101.0
v4.4.228,1592641405.0
